+------------+-----+--------+----------+------------------------------------------------+----------------------------------------+----------------+
| DeviceType | Id  | Period | Point Id | Point Name                                     | Show Point Name                        | Translation Id |
+------------+-----+--------+----------+------------------------------------------------+----------------------------------------+----------------+
| 11         | 1   | 1      | 83022    | Daily Yield of Plant                           | Daily Yield                            | 1022978        |
| 11         | 2   | 2      | 83022    | Daily Yield of Plant                           | Monthly Yield                          | 1023538        |
| 11         | 3   | 3      | 83022    | Daily Yield of Plant                           | Annual Yield                           | 1022851        |
| 11         | 4   | 1      | 83018    | Daily Yield (Theoretical)                      | Daily Yield (Theoretical)              | 1022996        |
| 11         | 5   | 2      | 83018    | Daily Yield (Theoretical)                      | Monthly Yield (Theoretical)            | 1321635        |
| 11         | 6   | 3      | 83018    | Daily Yield (Theoretical)                      | Yearly Yield (Theoretical)             | 1321636        |
| 3          | 7   | 1      | 82016    | Daily Irradiation at Grid-connecting Point     | Daily Horizontal Irradiation           | 1022894        |
| 3          | 8   | 2      | 82016    | Daily Irradiation at Grid-connecting Point     | Plan Monthly Radiation                 | 1321637        |
| 3          | 9   | 3      | 82016    | Daily Irradiation at Grid-connecting Point     | Plan Yearly Radiation                  | 1321639        |
| 17         | 10  | 1      | 81012    | Daily Yield by Inverter                        | Daily Yield (Inverter)                 | 1022980        |
| 7          | 16  | 1      | 8000     | Phase A Voltage                                | Phase A Voltage                        | 1020764        |
| 7          | 17  | 2      | 8000     | Phase A Voltage                                | Phase A Voltage                        | 1020764        |
| 7          | 18  | 3      | 8000     | Phase A Voltage                                | Phase A Voltage                        | 1020764        |
| 11         | 29  | 1      | 83001    | Inverter AC Power Normalization                | AC Power Normalization (Inverter)      | 1022496        |
| 11         | 30  | 1      | 83002    | Inverter AC Power                              | AC Power (Inverter)                    | 1022494        |
| 11         | 31  | 1      | 83004    | Inverter Total Yield                           | Total Yield (Inverter)                 | 1022599        |
| 11         | 32  | 1      | 83009    | Daily Yield by Inverter                        | Daily Yield (Inverter)                 | 1022980        |
| 11         | 33  | 1      | 83008    | Daily Equivalent Hours of Inverter             | Daily Yield Equivalent Hour (Inverter) | 1022982        |
| 11         | 34  | 1      | 83010    | Inverter PR                                    | PR (Inverter)                          | 1020959        |
| 11         | 35  | 1      | 83032    | Meter AC Power                                 | AC Power (Meter)                       | 1022493        |
| 11         | 36  | 1      | 83020    | Meter Total Yield                              | Total Yield (Meter)                    | 1321640        |
| 11         | 37  | 1      | 83006    | Meter Daily Yield                              | Daily Yield (Meter)                    | 1022979        |
| 11         | 38  | 1      | 83005    | Daily Equivalent Hours of Meter                | Daily Yield Equivalent Hour (Meter)    | 1022981        |
| 11         | 39  | 1      | 83007    | Meter PR                                       | PR (Meter)                             | 1020958        |
| 11         | 40  | 1      | 83021    | Accumulative Power Consumption by Meter        | Total Power Consumption (Meter)        | 1022602        |
| 11         | 41  | 1      | 83011    | Meter E-daily Consumption                      | Daily Energy Consumption (Meter)       | 1023002        |
| 11         | 42  | 1      | 83019    | Power/Installed Power of Plant                 | Power/Load                             | 1026946        |
| 11         | 43  | 1      | 83012    | P-radiation-H                                  | Transient Horizontal Irradiation       | 1025829        |
| 11         | 44  | 1      | 83013    | Daily Irradiation                              | Daily Irradiation                      | 1024771        |
| 11         | 45  | 1      | 83016    | Plant Ambient Temperature                      | Ambient Temperature                    | 1022386        |
| 11         | 46  | 1      | 83017    | Plant Module Temperature                       | Temp. (PV module)                      | 1019203        |
| 11         | 47  | 1      | 83023    | Plant PR                                       | PR                                     | 1020957        |
| 11         | 48  | 1      | 83024    | Plant Total Yield                              | Total Yield                            | 1023740        |
| 11         | 49  | 1      | 83025    | Plant Equivalent Hours                         | Daily Equivalent Hours                 | 1022975        |
| 11         | 54  | 2      | 83009    | Daily Yield by Inverter                        | Monthly Yield (Inverter)               | 1321641        |
| 11         | 55  | 2      | 83008    | Daily Equivalent Hours of Inverter             | Monthly Equivalent Hours (Inverter)    | 1321674        |
| 11         | 56  | 2      | 83010    | Inverter PR                                    | PR (Inverter)                          | 1020959        |
| 11         | 59  | 2      | 83006    | Meter Daily Yield                              | Monthly Yield (Meter)                  | 1321672        |
| 11         | 60  | 2      | 83005    | Daily Equivalent Hours of Meter                | Monthly Equivalent Hours (Meter)       | 1321673        |
| 11         | 61  | 2      | 83007    | Meter PR                                       | PR (Meter)                             | 1020958        |
| 11         | 63  | 2      | 83011    | Meter E-daily Consumption                      | Monthly Energy Consumption (Meter)     | 1321687        |
| 11         | 66  | 2      | 83013    | Daily Irradiation                              | Monthly Radiation Of PS                | 1467104        |
| 11         | 69  | 2      | 83023    | Plant PR                                       | PR                                     | 1020957        |
| 11         | 71  | 2      | 83025    | Plant Equivalent Hours                         | Monthly Equivalent Hours               | 1321645        |
| 11         | 76  | 3      | 83009    | Daily Yield by Inverter                        | Yearly Yield (Inverter)                | 1321660        |
| 11         | 77  | 3      | 83008    | Daily Equivalent Hours of Inverter             | Yearly Equivalent Hours (Inverter)     | 1321667        |
| 11         | 78  | 3      | 83010    | Inverter PR                                    | PR (Inverter)                          | 1020959        |
| 11         | 81  | 3      | 83006    | Meter Daily Yield                              | Yearly Yield (Meter)                   | 1321659        |
| 11         | 82  | 3      | 83005    | Daily Equivalent Hours of Meter                | Yearly Equivalent Hours (Meter)        | 1321666        |
| 11         | 83  | 3      | 83007    | Meter PR                                       | PR (Meter)                             | 1020958        |
| 11         | 85  | 3      | 83011    | Meter E-daily Consumption                      | Yearly Energy Consumption (Meter)      | 1321668        |
| 11         | 88  | 3      | 83013    | Daily Irradiation                              | Yearly Radiation Of PS                 | 1467105        |
| 11         | 91  | 3      | 83023    | Plant PR                                       | PR                                     | 1020957        |
| 11         | 93  | 3      | 83025    | Plant Equivalent Hours                         | Yearly Equivalent Hours                | 1321656        |
| 3          | 95  | 1      | 82001    | Inverter AC Power Normalization                | AC Power Normalization (Inverter)      | 1022496        |
| 3          | 96  | 1      | 82002    | Inverter AC Power                              | AC Power (Inverter)                    | 1022494        |
| 3          | 97  | 1      | 82003    | Inverter DC Power Normalization                | DC Power Normalization (Inverter)      | 1023636        |
